state,abbr,slug,fee_schedule_short,fee_schedule_full,fee_schedule_agency,fee_schedule_url,pharmacy_basis,settlement_approval_agency_short,settlement_approval_agency_full,settlement_approval_quirk,cms_regional_office,quirk_1,quirk_2,quirk_3,metro_1,metro_2,metro_3,metro_4,metro_5,caselaw_citation,handwrite_recommended,verify_status,sources
Georgia,GA,georgia,Georgia Workers' Compensation Medical Fee Schedule,Georgia Workers' Compensation Medical and Dental Fee Schedule,State Board of Workers' Compensation of Georgia,https://sbwc.georgia.gov/publications-and-forms/publications/fee-schedules/medical-and-dental-fee-schedules,"AWP (per Medi-Span) plus per-NDC-per-day dispensing fee; as of April 1 2024, dispensing fees are $4.83 for brand-name and $7.25 for generic medications; topical compound medications capped separately per a May 2024 Board update",SBWC,"Georgia State Board of Workers' Compensation, Settlement Division","All settlements must be submitted to and approved by the SBWC Settlement Division through documentary review under O.C.G.A. § 34-9-15 and Board Rule 15; once approved, the settlement is final and the Board may not subsequently modify or amend it.",Atlanta,"Georgia employers must maintain either a traditional panel of at least six non-associated physicians (including one orthopedist) or a Board-certified Workers' Compensation Managed Care Organization (MCO); the authorized treating clinician within that panel or MCO controls the medical record that forms the basis for WCMSA projections, and any care obtained outside that structure is generally the claimant's expense.","Permanent impairment ratings in Georgia are governed exclusively by the AMA Guides, Fifth Edition, published in 2000; projections of future medical care in a WCMSA should be calibrated against diagnoses and functional findings documented under Fifth Edition methodology, since a clinician unfamiliar with Fifth Edition rating conventions may produce a report that conflicts with the controlling medical record.","Georgia's medical fee schedule is purchased from FAIR Health and updated on an April 1 cycle; the schedule covering the current year should be confirmed as of the report date, since rates applicable at time of service govern reimbursement.",Atlanta,Augusta,Columbus,Macon,Savannah,,N,CONFIRMED,"https://sbwc.georgia.gov/publications-and-forms/publications/fee-schedules/medical-and-dental-fee-schedules; https://sbwc.georgia.gov/divisions-offices/settlement; https://law.justia.com/codes/georgia/title-34/chapter-9/article-1/section-34-9-15/"
Hawaii,HI,hawaii,Hawaii Workers' Compensation Medical Fee Schedule,"Hawaii Workers' Compensation Medical Fee Schedule, Hawaii Administrative Rules Title 12 Chapter 15 (current exhibit effective January 1 2026)","Hawaii Department of Labor and Industrial Relations, Disability Compensation Division (DLIR/DCD)",https://labor.hawaii.gov/dcd/find-a-law/,AWP-based; generic drugs reimbursed at AWP × 1.40 of original manufacturer NDC; compounded drugs at schedule rates by gram weight of ingredients; AWP fallback to WAC × 1.20 if AWP is unavailable,DLIR/DCD and LIRAB,"Hawaii Department of Labor and Industrial Relations, Disability Compensation Division (settlements reviewed and approved by the Labor and Industrial Relations Appeals Board, LIRAB)","After all parties sign the settlement agreement, it is submitted to LIRAB for approval; a director-level and Deputy Attorney General review may also occur before LIRAB signs and files the agreement, after which a party has 31 days to make payments.",San Francisco,"The injured worker may select any clinician practicing on the island where the injury occurred; if a specialist not available on that island is needed, the director may authorize treatment elsewhere, which can complicate projecting the clinician roster in a WCMSA for remote-island claimants.","Under HRS 386-79, the employer may request no more than one IME per claim unless good cause exists; the director may also appoint an impartial clinician paid from appropriated funds, adding a third potential medical opinion layer that can affect treatment projections.","Hawaii requires a hearing officer decision within 60 days of a hearing, and the Director of DLIR has authority to appoint an impartial clinician to resolve disputes, which can directly affect the medical evidence record that underlies a WCMSA allocation.",Honolulu,Pearl City,Hilo,Kailua,Waipahu,,N,PARTIALLY_CONFIRMED,"https://labor.hawaii.gov/dcd/find-a-law/; https://law.justia.com/codes/hawaii/title-21/chapter-386/section-386-79/; https://regulations.justia.com/states/hawaii/title-12/chapter-15/"
Idaho,ID,idaho,Idaho WC Medical Fee Schedule (RBRVS-based),"Idaho Workers' Compensation Medical Fee Schedule (IDAPA 17.01.01.803, adopting CMS RBRVS)",Idaho Industrial Commission (IIC),https://iic.idaho.gov/medical-fee-schedule/,AWP plus a dispensing fee for prescription medications; reasonable charge plus dispensing fee for OTC medications (per IDAPA 17.01.01.803),IIC,Idaho Industrial Commission,"Effective July 1 2022, most Settlement Agreements must be filed with the IIC to be effective but no longer require Commission approval; lump-sum settlements remain subject to IIC approval and must be in the best interest of all parties.",Seattle,"Idaho allows employers to designate a treating clinician for all non-emergency work-related conditions; if a designated clinician is in place, the injured worker must obtain employer approval or IIC authorization before switching treaters, which bounds the clinician pool available for ongoing care projected in a WCMSA.","Idaho law defines ""physician"" broadly to include MDs, osteopaths, dentists, optometrists, podiatrists, chiropractors, and other state-licensed healing professionals, so a WCMSA must account for the possibility that chiropractic or other non-MD care may be ongoing and reimbursable.","Medical providers must submit written reports within 14 days of each visit to the insurer; failure creates billing disputes that can surface in records review, and gaps in reporting may affect the clinical picture underlying the WCMSA allocation.",Boise,Meridian,Nampa,Idaho Falls,Pocatello,,N,PARTIALLY_CONFIRMED,"https://iic.idaho.gov/medical-fee-schedule/; https://iic.idaho.gov/adjudication-division/settlement-agreement-faqs/; https://law.justia.com/codes/idaho/title-72/"
Illinois,IL,illinois,IWCC Medical Fee Schedule,Illinois Workers' Compensation Commission Medical Fee Schedule,Illinois Workers' Compensation Commission (IWCC),https://iwcc.illinois.gov/resources/resources-for/faqmed.html,AWP plus $4.18 dispensing fee (for prescriptions dispensed outside a licensed pharmacy); licensed pharmacy retail claims paid at usual and customary,IWCC Arbitrator,Illinois Workers' Compensation Commission (arbitrator assigned to the claim),"All settlement contracts must be electronically submitted via the IWCC's CompFile system, reviewed by an assigned arbitrator, and signed by all parties before the arbitrator approves or rejects the contract based on whether the terms are in the claimant's best interest.",Chicago,"The IWCC fee schedule is based on historical charge data from 2002 to 2004; current payment is set at 53.2% of historical charges adjusted annually by CPI, so WCMSA projections must use IWCC schedule amounts as the cost basis.","Illinois' two-physician rule (820 ILCS 305/8(a)) gives the injured worker two independent treatment selections and each selection's full referral chain, so the treating clinician writing the WCMSA narrative may differ from whoever performed the original IME.","Employers may establish a Department of Insurance-approved Preferred Provider Program (PPP), which constrains the employee's physician choices to the PPP network; if a PPP is in place, the treating clinicians whose care is being projected must be evaluated for network status.",Chicago,Aurora,Naperville,Joliet,Rockford,,N,CONFIRMED,"https://iwcc.illinois.gov/resources/resources-for/faqmed.html; https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=082003050K8.2; https://iwcc.illinois.gov/content/dam/soi/en/web/iwcc/documents/forms-resources/ic05-settlement-contract.pdf"
Indiana,IN,indiana,Indiana WCB Facility Fee Schedule,Indiana Workers' Compensation Board Medical Service Facility Fee Schedule,Worker's Compensation Board of Indiana (WCB),https://www.in.gov/wcb/providers/,Reasonable and necessary cost basis; no formal pharmacy fee schedule; repackaged drugs reimbursed at AWP of original manufacturer NDC; physician office dispensing limited to first seven days post-injury,Worker's Compensation Board of Indiana,Worker's Compensation Board of Indiana,"A Board member must approve all settlement agreements; no settlement is valid without that approval, and the Board may refuse any agreement that does not conform with the Act's statutory rights.",Chicago,"Indiana's fee schedule applies only to medical service facilities (hospitals, hospital-based facilities, and medical centers) at 200% of Medicare rates; professional services from clinicians are reimbursed at reasonable and customary rates with no statutory cap, which complicates fee-basis projections in a WCMSA.","PPI ratings in Indiana may use any edition of the AMA Guides that the evaluating clinician considers appropriate to the specific impairment, creating variability in rating methodologies that can affect settlement structure and the post-settlement medical allocation.","Effective July 1 2024, Indiana shifted from employer-directed to employee-directed physician selection; for claims with dates of injury before and after that date, the applicable care-direction rule differs and shapes which treating clinician's records anchor the WCMSA narrative.",Indianapolis,Fort Wayne,Evansville,South Bend,Carmel,,N,CONFIRMED,"https://www.in.gov/wcb/providers/; https://law.justia.com/codes/indiana/title-22/article-3/chapter-3/; https://rbelaw.com/what-indiana-employers-need-to-know-when-settling-workers-compensation-claims/"
Iowa,IA,iowa,No published fee schedule,"Iowa has no published workers' compensation medical fee schedule; charges are subject to approval by the Iowa Workers' Compensation Commissioner as reasonable and necessary under Iowa Code § 85.27","Iowa Division of Workers' Compensation, Department of Inspections, Appeals, and Licensing (DIAL)",https://dial.iowa.gov/hearings/workers-comp/rates,"Usual and customary charge; no state WC pharmacy fee schedule; where no controlling schedule exists, providers bill U&C; Iowa has no specific compounded medication rules distinct from general WC",Iowa Workers' Compensation Commissioner,"Iowa Workers' Compensation Commissioner, Department of Inspections, Appeals, and Licensing","Settlements must be submitted in writing to the Commissioner for approval; the Commissioner approves only if there is substantial evidence supporting the terms and the employee knowingly and voluntarily waives hearing rights; if the employee is represented by counsel, approval is presumed unless the Commissioner finds grounds to deny.",Kansas City,"Iowa's absence of a medical fee schedule means there is no fixed reimbursement rate for projected future care; WCMSA future cost projections must rely on provider-level usual and customary charges or Medicare rates as a proxy, and the methodology should be documented on the face of the report.","Iowa uses the AMA Guides Fifth Edition (the Commissioner's task force rejected the Sixth Edition in 2008); the Fifth Edition rating methodology governs impairment determinations underlying any settlement, and the Commissioner retains authority to correct physician misapplication of the Guides.","Iowa's Alternate Medical Care procedure under § 85.27 and Iowa Administrative Code 876-4.48 allows an injured worker to petition for substitute care on an expedited basis (decision within 10-14 working days); active AMC disputes can affect which treating clinician's records form the medical foundation for a WCMSA.",Des Moines,Cedar Rapids,Davenport,Sioux City,Iowa City,,N,CONFIRMED,"https://dial.iowa.gov/hearings/workers-comp/rates; https://www.legis.iowa.gov/docs/code/85.27.pdf; https://www.legis.iowa.gov/docs/iac/rule/876.4.48.pdf"
Kansas,KS,kansas,KDOL Schedule of Medical Fees,"Kansas Department of Labor Workers' Compensation Schedule of Medical Fees (updated biennially; current edition effective May 2024, adopted under K.A.R. 51-9-7)","Kansas Department of Labor, Division of Workers' Compensation",https://www.dol.ks.gov/workers-compensation/medical-services-fee-schedule,Lesser of the provider's usual and customary charge or the amount allowed by the KDOL Schedule of Medical Fees (AWP-based per the schedule; exact AWP discount percentage VERIFY against current edition),KDOL ALJ,"Kansas Department of Labor, Division of Workers' Compensation Administrative Law Judge","Settlement awards on written stipulation may be approved by the assigned ALJ within five days of receiving the signed stipulation, provided both parties are represented and the claimant is over 18; otherwise a hearing is required.",Kansas City,"Kansas uses the Official Disability Guidelines (ODG) from the Work Loss Data Institute as the statutory standard for evidence-based treatment; projected future treatment that deviates from ODG requires documented clinical justification, which shapes what a WCMSA can supportably include.","The KDOL fee schedule is updated on a biennial cycle, so reimbursement rates applicable to any given settlement may reflect a schedule that is up to two years old; the effective date of the applicable schedule should be confirmed at the time of WCMSA preparation.","Kansas permits claimants to self-administer their WCMSA and the KDOL has published a self-administration toolkit; this does not change the report preparation obligation but signals that the state administrative environment is familiar with the WCMSA construct.",Wichita,Overland Park,Kansas City,Olathe,Topeka,,N,PARTIALLY_CONFIRMED,"https://www.dol.ks.gov/workers-compensation/medical-services-fee-schedule; https://www.kssos.org/publications/register/Volume-43/Issues/Issue-16/04-18-24-52066.html; https://www.ksrevisor.gov/statutes/chapters/ch44/044_005_0023.html"
Kentucky,KY,kentucky,Kentucky WC Schedule of Fees for Physicians,Kentucky Workers' Compensation Medical Fee Schedule for Physicians (803 KAR 25:089),"Kentucky Department of Workers' Claims, Education and Labor Cabinet",https://elc.ky.gov/Workers-Compensation/Pages/Medical-Services.aspx,"ODG by MCG Health pharmaceutical formulary (adopted 803 KAR 25:270, effective July 1 2019); Y-status drugs dispensed without preauthorization; N-status drugs require prior authorization; reimbursement for generics capped at the lesser of provider's usual and customary charge or 85% of AWP, plus a $5.00 dispensing fee",Department of Workers' Claims (Administrative Law Judge),"Kentucky Department of Workers' Claims, Administrative Law Judge","All settlements require Administrative Law Judge approval via Form 110-I (Agreement as to Compensation and Order Approving Settlement); lump-sum commutation of future income benefits over $100 per week requires affirmative ""reasonable assurance"" of adequate income during disability, and future periodic payments are discounted to present value under KRS 342.265(3).",Atlanta,"Kentucky mandates use of the AMA Guides, Fifth Edition for all permanent impairment ratings; a WCMSA report must align its diagnosis framing and impairment characterization with the controlling Fifth Edition methodology, because the ALJ weighs competing ratings against that standard when determining compensable conditions.","Kentucky adopted the ODG closed pharmaceutical formulary in 2019; projected pharmacy costs in a WCMSA must account for formulary status of each drug, since N-status drugs require documented prior authorization and may face future coverage challenges that affect the projected prescription cost line.","Kentucky's medical fee schedule is revised on a two-year cycle (July 1 of even-numbered years), with the current schedule obtained through FAIR Health; the applicable rate set for any projected future service date should be confirmed against the schedule effective at the time of report preparation.",Louisville,Lexington,Bowling Green,Owensboro,Covington,,N,CONFIRMED,"https://elc.ky.gov/Workers-Compensation/Pages/Medical-Services.aspx; https://www.law.cornell.edu/regulations/kentucky/803-KAR-25-089; https://kyma.org/workers-compensation-pharmaceutical-formulary/"
Louisiana,LA,louisiana,OWCA Reimbursement Schedule,"Louisiana Workers' Compensation Reimbursement Schedule (Louisiana Administrative Code, Title 40)","Louisiana Workforce Commission, Office of Workers' Compensation Administration (OWCA)",https://www.laworks.net/WorkersComp/OWC_MedicalGuidelines.asp,AWP × 1.40 plus $11.81 dispensing fee per prescription (per Louisiana Title 40 Chapter 29; employer retains right to direct pharmacy choice),OWC,Louisiana Office of Workers' Compensation Administration,"Lump sum or compromise settlement requires approval by a workers' compensation judge via Form LWC-WC-1011; if the worker is represented, an attorney affidavit may substitute for a hearing, but the judge retains authority to deny approval if the settlement is not fair and just.",Dallas,"Louisiana's OWCA operates nine district offices across the state, each with WC judges having original exclusive jurisdiction; the district where the injury occurred or the claimant resides controls venue, and district-level practice can vary in pace and local procedure.","Louisiana has its own Medical Treatment Guidelines (LAC Title 40, Chapters 20-23) for spine, pain, neurological, and extremity conditions; these guidelines govern what future treatment is approvable and shape which projected care is defensible in a WCMSA.","Preauthorization via Form LWC-WC-1010 is required once non-emergency treatment costs exceed $750; disputes over UR decisions go to the OWC Medical Director within 15 days, producing a binding recommendation that affects the medical record supporting any WCMSA projection.",New Orleans,Baton Rouge,Shreveport,Lafayette,Lake Charles,,N,PARTIALLY_CONFIRMED,"https://www.laworks.net/WorkersComp/OWC_MedicalGuidelines.asp; https://legis.la.gov/Legis/Law.aspx?d=83468; https://www.laworks.net/WorkersComp/OWC_dsform1011.asp"
Maine,ME,maine,Maine WCB Medical Fee Schedule (Chapter 5),"Medical Fee Schedule, Maine Workers' Compensation Board, 90-351 Chapter 5: Medical Fees; Reimbursement Levels; Reporting Requirements",Maine Workers' Compensation Board (WCB),https://www.maine.gov/wcb/Departments/omrs/medfeesched.html,Usual and customary charge; generic substitution required when available; no AWP-based formula in Chapter 5,Maine WCB,Maine Workers' Compensation Board,"Lump-sum settlements require Board approval under 39-A M.R.S. §352; hearing officers must obtain a permanent impairment rating or a no-permanent-injury finding (on Form WCB-10) before approving any release of future medical liability.",Boston,"Maine's WCB has adopted a rule (Chapter 12) requiring hearing officers to make a specific determination of expected future medical costs before approving any lump-sum settlement that releases medical liability; CMS has recognized these on-the-merits determinations, so a properly litigated Maine settlement can support the MSA figure without a separate CMS submission.","The Chapter 5 fee schedule ties professional service rates to Medicare's RBRVS methodology, so WCMSA projections should use the Medicare fee schedule as a pricing benchmark; Maine WCB updates the schedule twice yearly (January and October), and the applicable rate on the settlement date may differ from the rate used in the life-care projection.","Maine's Chapter 5 rules prohibit outpatient providers (other than licensed pharmacies) from receiving reimbursement for Schedule II-V controlled substances beyond an initial five-day supply; projected opioid or controlled-substance use in a WCMSA must account for this channel restriction.",Portland,Lewiston,Bangor,South Portland,Auburn,,N,PARTIALLY_CONFIRMED,"https://www.maine.gov/wcb/Departments/omrs/medfeesched.html; https://legislature.maine.gov/statutes/39-A/title39-Asec352.html; https://www.maine.gov/wcb/Departments/omrs/msa/msaatt.html"
Maryland,MD,maryland,Maryland WC Medical Fee Guide,Maryland Workers' Compensation Medical Fee Guide (codified at COMAR 14.09.08),Maryland Workers' Compensation Commission,https://www.wcc.state.md.us/MFG/Medical_Fee_Schedule.html,VERIFY — Maryland has no enacted WC-specific pharmacy fee schedule as of mid-2026; reimbursement has been set by insurers using AWP-based PBM contracts; SB 306 (2025 session) proposed an acquisition-cost-based schedule with target effective date September 1 2026 — confirm enacted status,Maryland Workers' Compensation Commission,Maryland Workers' Compensation Commission,"Settlements require WCC Commissioner approval through review of submitted medical records and the agreement itself; the Commission issues an Award Order upon finding that the settlement adequately protects the injured worker's interests, and the insurer has 15 days after approval to tender payment.",Philadelphia,"Maryland recognizes two distinct claim types (accidental personal injury and occupational disease) with separate filing deadlines and procedural tracks; a WCMSA covering occupational-disease claims must clearly identify the disease basis and the corresponding open medical obligations, which can differ from injury-based projections.","Maryland WCC settlements can take the form of a stipulation (keeping the award open) or a final compromise and settlement (closing all or part of the case); only the final compromise closes future medical liability, so the WCMSA should identify which settlement form is being used.","Maryland has no enacted pharmacy fee schedule as of the research date; projected pharmaceutical costs in a WCMSA must be based on current AWP or market-rate evidence because no statutory reimbursement ceiling for drugs applies, making the pharmacy allocation potentially higher than in states with capped schedules.",Baltimore,Frederick,Rockville,Gaithersburg,Bowie,,N,PARTIALLY_CONFIRMED,"https://www.wcc.state.md.us/MFG/Medical_Fee_Schedule.html; https://www.wcc.state.md.us/; https://healthesystems.com/regulatory/maryland-proposes-pharmacy-fee-schedule-with-actual-acquisition-cost/"
Massachusetts,MA,massachusetts,114.3 CMR 40.00,"Rates for Services under M.G.L. c. 152, Workers' Compensation Act (114.3 CMR 40.00)",Executive Office of Health and Human Services (EOHHS),https://www.mass.gov/info-details/medical-rates-under-the-workers-compensation-act,Medicaid pharmacy fee schedule basis; 114.3 CMR 40.00 references the EOHHS prescribed-drugs regulation 101 CMR 331.00 governing reimbursement for both Medicaid and workers' compensation prescriptions,DIA,Department of Industrial Accidents,"Lump-sum settlements require approval at a Lump Sum Conference before a DIA administrative judge, who must find the agreement is in the employee's best interest; the judge questions the claimant on the record and the employer must file a Form 116A consent before approval is granted.",Boston,"The professional fee schedule has not been updated since April 2009; the rates embedded in a WCMSA projection will therefore reflect rates well below current market charges, and a clinician preparing the projection must use fee-schedule rates for Massachusetts-based treatment regardless of actual billed amounts.","EOHHS has statutory authority to set the fee schedule while the DIA administers the claim; this split creates a governance gap where rate update proceedings run through EOHHS's separate rulemaking process even though the DIA hears the case.","Massachusetts uses the same pharmacy pricing regulation for workers' compensation and Medicaid, so drug reimbursement in a WCMSA projection must reference the current 101 CMR 331.00 Medicaid drug rate.",Boston,Worcester,Springfield,Cambridge,Lowell,,N,PARTIALLY_CONFIRMED,"https://www.mass.gov/regulations/1143-CMR-4000-rates-for-services-under-mgl-c152-workers-compensation-act; https://www.mass.gov/info-details/medical-rates-under-the-workers-compensation-act; https://healthesystems.com/regulatory/massachusetts-recap-updates-from-the-fee-schedule-stakeholder-input-session/"
Michigan,MI,michigan,WDCA Health Care Services Rules,Michigan Workers' Disability Compensation Agency Health Care Services Rules and Fee Schedule,"Michigan Workers' Disability Compensation Agency (WDCA), Michigan Department of Labor and Economic Opportunity (LEO)",https://www.michigan.gov/leo/bureaus-agencies/wdca/healthcare/rules-fees/hcs-rules-manuals-fees/2025-rules-manual-and-fees,AWP minus 10% (per Red Book or Medi-Span) plus dispensing fee of $3.50 for brand-name drugs and $5.50 for generic drugs,WDCA Board of Magistrates,Michigan Workers' Disability Compensation Agency Board of Magistrates,"All lump-sum settlements (called Redemptions of Liability) require approval at a hearing before a magistrate, who reviews the facts and medical records and must determine the amount is appropriate; a 15-day appeal window follows approval, which either party may waive.",Chicago,"Michigan is a wage-loss state, meaning weekly benefits are tied to actual diminished earning capacity; a WCMSA must account for the fact that settlement amounts are often calculated around wage-loss exposure, and the future medical component in the redemption order is what CMS uses to assess the MSA allocation.","Michigan's coordination-of-benefits statute (MCL 418.354) allows certain employer-paid benefits (social security, pension payments) to offset workers' comp wage-loss obligations, which affects the overall settlement structure and the proportion of settlement proceeds attributable to future medical care.","WDCA's Health Care Services Rules establish seven distinct Maximum Allowable Payment (MAP) calculation methods; the applicable MAP method depends on service type and provider category, so projecting future care costs requires identifying the correct MAP tier for each projected treatment modality.",Detroit,Grand Rapids,Warren,Sterling Heights,Lansing,,N,CONFIRMED,"https://www.michigan.gov/leo/bureaus-agencies/wdca/healthcare/rules-fees/hcs-rules-manuals-fees/2025-rules-manual-and-fees; https://www.workerscomplawyerhelp.com/blog/2026/04/workers-comp-settlement-process/"
Minnesota,MN,minnesota,Minnesota WC RBRVS Fee Schedule,Minnesota Workers' Compensation Resource-Based Relative Value Fee Schedule (Minnesota Rules Chapter 5221),Minnesota Department of Labor and Industry (DLI),https://dli.mn.gov/business/workers-compensation/work-comp-medical-fee-schedules-rbrvs,AWP plus $5.14 dispensing fee per prescription (standard outpatient); large hospital pharmacy dispensing reimbursed at AWP minus 12% plus $3.65 dispensing fee; payer liability is the lower of AWP-based amount or pharmacy's usual and customary charge (Minn. R. 5221.4070),OAH Compensation Judge,"Minnesota Office of Administrative Hearings, Workers' Compensation Division — Compensation Judge","A Compensation Judge must approve all Stipulations for Settlement, confirming the terms are fair, reasonable, and conforming with Chapter 176; a stipulation must be filed within 45 days of the parties reaching agreement, and approval is required before any settlement payment is final.",Chicago,"Minnesota's RBRVS schedule uses DLI-set conversion factors (updated annually each October 1); WCMSA cost projections should use current Minnesota-specific rates, which differ from Medicare rates for the same CPT codes.","Minnesota DLI maintains a separate Hospital Outpatient Fee Schedule (HOFS) alongside the RBRVS schedule; facility and professional fees are governed by different schedules, and projecting future care for claimants likely to use hospital-based outpatient services requires applying HOFS rates to those visits.","Minnesota's alternative dispute resolution process through DLI includes administrative conferences that can resolve contested medical and rehabilitation disputes before formal litigation; the outcome of those proceedings shapes which treatments are accepted as compensable, a factor that directly affects what future care is allocable in a WCMSA.",Minneapolis,Saint Paul,Rochester,Bloomington,Duluth,"Irwin v. Surdyk's Liquor, 599 N.W.2d 132 (Minn. 1999)",N,CONFIRMED,"https://dli.mn.gov/business/workers-compensation/work-comp-medical-fee-schedules-rbrvs; https://www.dli.mn.gov/business/workers-compensation/work-comp-medical-fee-schedules-hofs; https://www.revisor.mn.gov/rules/5221.4070/"
Mississippi,MS,mississippi,MWCC Medical Fee Schedule,"Mississippi Workers' Compensation Medical Fee Schedule (Mississippi Administrative Code Title 20, Part 2)",Mississippi Workers' Compensation Commission,https://mwcc.ms.gov/,AWP (as published) per ingredient plus a single $5.00 dispensing fee per day per NDC; compound topical medications capped at $300 per month for a maximum of 120 grams; billing must include original manufacturer NDC,MWCC Administrative Judge,"Mississippi Workers' Compensation Commission, Administrative Judge","Settlement agreements must be approved by a Commission Administrative Judge, with the resulting order carrying the same force and effect as any other Commission decision; settlements involving minor claimants require prior Chancery Court authorization before Commission approval may be sought.",Atlanta,"Mississippi's physician-selection rule gives the employer initial control over the treating clinician; the injured worker may then elect one physician of their own choice, and that physician may make one specialist referral per subspecialty; any further referrals require carrier approval; the WCMSA must be built on the treatment record of the controlling authorized treating clinician.","The MWCC medical fee schedule is based on Medicare Relative Value Units effective as of the 2019 adoption, administered through FAIR Health with periodic updates; the applicable conversion factor and RVU values in effect at the time of report preparation govern rate projections, and the schedule must be purchased from FAIR Health rather than downloaded from the Commission website.","Mississippi has no mandatory closed formulary for workers' compensation pharmacy, so WCMSA drug projections are governed by medical necessity and the AWP-plus-dispensing-fee cap.",Jackson,Gulfport,Southaven,Hattiesburg,Biloxi,,N,PARTIALLY_CONFIRMED,"https://mwcc.ms.gov/; https://regulations.justia.com/states/mississippi/title-20/part-2/; https://www.fairhealth.org/article/fair-health-chosen-to-update-mississippi-workers-compensation-fee-schedules"
Missouri,MO,missouri,No published fee schedule,"Missouri has no published workers' compensation medical fee schedule; all charges must be fair and reasonable and may not exceed the provider's usual and customary charge to private-pay or private-insurance patients (Missouri Revised Statutes § 287.140)","Missouri Department of Labor and Industrial Relations, Division of Workers' Compensation (DWC)",https://labor.mo.gov/dwc,Usual and customary charge; no state WC pharmacy fee schedule; Missouri § 287.140 requires charges not exceed the provider's U&C rate for non-WC patients; no AWP formula or formulary,DWC ALJ,Missouri Division of Workers' Compensation Administrative Law Judge,"An ALJ must approve any settlement agreement; the standard is that the settlement is free of fraud or undue influence, the employee understands and voluntarily accepts the terms, and the agreement is within a reasonable range of value; the ALJ does not conduct an independent deep review of medical records.",Kansas City,"Missouri's active Second Injury Fund (SIF) compensates workers whose current injury combines with a pre-existing disability to produce greater combined disability; when a SIF claim is part of a settlement, future medical responsibility may be split between the employer's carrier and the Fund, and the WCMSA allocation must account for which entity is liable for which future care.","Missouri has no medical fee schedule, so WCMSA cost projections must be grounded in provider-level U&C charges or Medicare rates as a surrogate, with explicit documentation of the methodology used.","Medical fee disputes are resolved through an administrative process under 8 CSR 50-2.030; where a payer reduces a charge, the provider must submit an affidavit that fees are fair and reasonable, and the dispute process creates a record that may be relevant to contested future-care projections.",Kansas City,Saint Louis,Springfield,Columbia,Independence,,N,CONFIRMED,"https://revisor.mo.gov/main/OneSection.aspx?section=287.140; https://labor.mo.gov/dwc; https://labor.mo.gov/dwc/units/sif-unit"
Montana,MT,montana,Montana Workers' Compensation Fee Schedules,Montana Workers' Compensation Professional Fee Schedule and Montana Workers' Compensation Facility Fee Schedule (Administrative Rule 24.29.1534),"Montana Department of Labor and Industry, Employment Relations Division",https://erd.dli.mt.gov/work-comp-claims/medical-regulations/montana-work-comp-fee-schedules,AWP plus $5.00 dispensing fee for brand drugs; AWP plus $15.22 dispensing fee for generics; reimbursement capped at lesser of provider's usual and customary charge negotiated contract amount or fee schedule; reimbursement keyed to original labeler NDC,Montana DLI Employment Relations Division,"Montana Department of Labor and Industry, Employment Relations Division","Settlements and lump-sum conversions are subject to Employment Relations Division approval under MCA 39-71-741; the parties must first complete mandatory mediation through the DLI before any dispute may proceed to the Workers' Compensation Court, and the Court may review a departmental disapproval on petition.",Denver,"Montana requires insurers to certify with the state, and a certified Managed Care Organization (MCO) may be contracted to designate the treating clinician; once an injured worker enters an MCO, the worker cannot change clinicians without insurer approval, so the MCO-designated treating record is the primary source for future-care projections in a WCMSA.","The Montana Utilization and Treatment Guidelines (montanaguidelines.com) establish evidence-based treatment benchmarks; treatment falling within the guidelines does not require prior authorization, but anything outside requires authorization per ARM 24.29.1593, and a WCMSA must reflect whether projected future treatment is guideline-conforming.","Montana maintains a standalone Workers' Compensation Court (a court of record separate from the district court system) that reviews benefit disputes after mediation has failed; settlement projections must account for the possibility that the Court is the final arbiter of contested medical necessity questions.",Billings,Missoula,Great Falls,Bozeman,Butte,,N,CONFIRMED,"https://erd.dli.mt.gov/work-comp-claims/medical-regulations/montana-work-comp-fee-schedules; https://montanaguidelines.com/; https://courts.mt.gov/Courts/workers-comp/page"
